"Timestamp","name","activity","lat","lon","weight","brood","mean_fanning","humidity","flight_noise","temperature"
2017-06-24 02:00:00,"beehive_54630",37458,55.007339,-1.642851,17.67308549,35.42124586,133,43.5751598,111,11.164835479
2017-06-24 03:00:00,"beehive_54620",38080,55.01031,-1.62681,45.164816669,31.472527891,NA,50.9722929,95,10.761905074
2017-06-24 03:00:00,"beehive_54630",44011,55.007339,-1.642851,17.676093009,35.501831941,166,45.20554832,128,10.036630345
2017-06-24 04:00:00,"beehive_54620",44977,55.01031,-1.62681,45.026470795,31.311355729,NA,50.9722929,100,10.520146831
2017-06-24 04:00:00,"beehive_54630",53596,55.007339,-1.642851,17.670077971,35.340659779,286,43.33362076,178,9.875458183
2017-06-24 05:00:00,"beehive_54620",44775,55.01031,-1.62681,44.900154997,32.520146944,NA,50.9722929,132,11.24542156
2017-06-24 05:00:00,"beehive_54630",55715,55.007339,-1.642851,17.661055414,35.501831941,243,40.82765322,144,10.681318993
2017-06-24 06:00:00,"beehive_54620",53953,55.01031,-1.62681,44.987373048,32.520146944,NA,45.8395883,154,12.212454532
2017-06-24 06:00:00,"beehive_54630",57774,55.007339,-1.642851,17.652032857,35.501831941,303,41.97496366,168,12.212454532
2017-06-24 07:00:00,"beehive_54620",56021,55.01031,-1.62681,45.095643732,33.164835592,NA,42.0655408,172,13.179487504
2017-06-24 07:00:00,"beehive_54630",59891,55.007339,-1.642851,17.624965186,35.663004103,375,31.3472459,232,15.435897772
2017-06-24 08:00:00,"beehive_54620",58764,55.01031,-1.62681,44.957297858,33.084249511,NA,42.48823412,224,14.630036962
2017-06-24 08:00:00,"beehive_54630",59870,55.007339,-1.642851,17.58285992,35.663004103,338,32.5549411,251,23.816850196
2017-06-24 09:00:00,"beehive_54620",60753,55.01031,-1.62681,44.948275301,32.600733025,NA,40.52572942,338,16.967033311
2017-06-24 09:00:00,"beehive_54630",61965,55.007339,-1.642851,17.564814806,35.501831941,418,29.20358692,254,26.717949112
2017-06-24 10:00:00,"beehive_54620",61257,55.01031,-1.62681,45.113688846,33.487179916,NA,37.56687618,337,18.336996688
2017-06-24 10:00:00,"beehive_54630",61176,55.007339,-1.642851,17.579852401,35.582418022,343,31.92090112,291,26.798535193
2017-06-24 11:00:00,"beehive_54620",60747,55.01031,-1.62681,44.873087326,32.681319106,NA,35.99687242,380,22.5274729
2017-06-24 11:00:00,"beehive_54630",60950,55.007339,-1.642851,17.558799768,35.743590184,501,28.3280079,298,28.571428975
2017-06-24 12:00:00,"beehive_54620",61498,55.01031,-1.62681,45.050530947,32.681319106,NA,29.44512596,425,20.593406956
2017-06-24 12:00:00,"beehive_54630",61635,55.007339,-1.642851,17.516694502,35.582418022,336,24.8558842,358,26.637363031
2017-06-24 14:00:00,"beehive_54620",60974,55.01031,-1.62681,44.972335453,32.117216539,NA,26.27492606,407,20.673993037
2017-06-24 14:00:00,"beehive_54630",62117,55.007339,-1.642851,17.438499008,35.501831941,342,21.17241384,442,23.897436277
2017-06-24 15:00:00,"beehive_54620",60998,55.01031,-1.62681,44.867072288,32.117216539,NA,24.31242136,475,19.948718308
2017-06-24 15:00:00,"beehive_54630",60892,55.007339,-1.642851,17.426468932,35.824176265,399,23.1953033,278,22.5274729
2017-06-24 16:00:00,"beehive_54620",62139,55.01031,-1.62681,44.927222668,31.553113972,NA,26.2145413,510,19.706960065
2017-06-24 16:00:00,"beehive_54630",61547,55.007339,-1.642851,17.52270954,35.582418022,324,27.39204412,253,19.545787903
2017-06-24 17:00:00,"beehive_54620",61583,55.01031,-1.62681,44.945267782,31.230769648,NA,28.4789698,435,18.49816885
2017-06-24 17:00:00,"beehive_54630",60758,55.007339,-1.642851,17.549777211,35.663004103,316,26.00319464,237,17.69230804
2017-06-24 18:00:00,"beehive_54620",61587,55.01031,-1.62681,45.074591099,31.472527891,NA,30.77359068,350,17.531135878
2017-06-24 18:00:00,"beehive_54630",61051,55.007339,-1.642851,17.55278473,35.501831941,314,26.30511844,219,17.047619392
2017-06-24 19:00:00,"beehive_54620",61763,55.01031,-1.62681,45.122711403,31.472527891,NA,32.58513348,335,16.483516825
2017-06-24 19:00:00,"beehive_54630",59063,55.007339,-1.642851,17.58285992,35.582418022,264,30.35089736,193,16.08058642
2017-06-24 20:00:00,"beehive_54620",61567,55.01031,-1.62681,45.170831707,31.875458296,NA,36.9328362,234,15.435897772
2017-06-24 20:00:00,"beehive_54630",57024,55.007339,-1.642851,17.55278473,35.663004103,229,31.0453221,171,14.871795205
2017-06-24 21:00:00,"beehive_54620",61081,55.01031,-1.62681,45.182861783,32.036630458,NA,39.37841898,137,14.4688648
2017-06-24 21:00:00,"beehive_54630",58540,55.007339,-1.642851,17.558799768,35.582418022,317,35.18167816,208,13.824176152
2017-06-24 22:00:00,"beehive_54620",61349,55.01031,-1.62681,45.182861783,32.036630458,NA,39.37841898,151,13.340659666
2017-06-24 22:00:00,"beehive_54630",50010,55.007339,-1.642851,17.540754654,35.42124586,199,37.29514476,139,12.534798856
2017-06-24 23:00:00,"beehive_54620",58870,55.01031,-1.62681,45.215944492,31.633700053,NA,41.28053892,140,12.454212775
2017-06-24 23:00:00,"beehive_54630",41312,55.007339,-1.642851,17.534739616,35.501831941,162,35.45340958,137,11.728938046
2017-06-25 00:00:00,"beehive_54620",56583,55.01031,-1.62681,45.227974568,31.150183567,NA,43.5751598,134,11.728938046
2017-06-25 00:00:00,"beehive_54630",45558,55.007339,-1.642851,17.537747135,35.582418022,177,35.18167816,136,11.003663317
2017-06-25 01:00:00,"beehive_54620",51438,55.01031,-1.62681,45.179854264,29.377289785,NA,43.33362076,128,11.326007641
2017-06-25 01:00:00,"beehive_54630",45072,55.007339,-1.642851,17.543762173,35.340659779,135,37.95937712,107,10.600732912
2017-06-25 02:00:00,"beehive_54620",48699,55.01031,-1.62681,45.249027201,30.586081,NA,44.51112358,97,10.358974669
2017-06-25 02:00:00,"beehive_54630",45630,55.007339,-1.642851,17.534739616,35.582418022,131,38.77457138,103,10.036630345
2017-06-25 03:00:00,"beehive_54620",40956,55.01031,-1.62681,45.255042239,30.827839243,NA,46.53401304,90,10.036630345
2017-06-25 03:00:00,"beehive_54630",37054,55.007339,-1.642851,17.55278473,35.743590184,125,46.11131972,104,9.553113859
2017-06-25 04:00:00,"beehive_54620",42763,55.01031,-1.62681,45.218952011,31.714286134,NA,47.68132348,89,10.197802507
2017-06-25 04:00:00,"beehive_54630",40466,55.007339,-1.642851,17.540754654,35.582418022,139,36.69129716,111,9.553113859
2017-06-25 05:00:00,"beehive_54620",48448,55.01031,-1.62681,44.993388086,32.278388701,NA,46.17170448,101,10.923077236
2017-06-25 05:00:00,"beehive_54630",49148,55.007339,-1.642851,17.537747135,35.501831941,199,35.39302482,133,10.358974669
2017-06-25 06:00:00,"beehive_54620",55439,55.01031,-1.62681,44.818951984,32.923077349,NA,43.5751598,140,11.648351965
2017-06-25 06:00:00,"beehive_54630",56290,55.007339,-1.642851,17.537747135,35.663004103,298,46.8963216,162,11.809524127
2017-06-25 07:00:00,"beehive_54620",60376,55.01031,-1.62681,44.788876794,32.681319106,NA,37.05360572,164,12.776557099
2017-06-25 07:00:00,"beehive_54630",58267,55.007339,-1.642851,17.507671945,35.501831941,275,27.99589172,174,15.113553448
2017-06-25 08:00:00,"beehive_54620",59182,55.01031,-1.62681,44.752786566,33.970696402,NA,37.92918474,211,13.985348314
2017-06-25 08:00:00,"beehive_54630",60467,55.007339,-1.642851,17.468574198,35.501831941,343,29.14320216,208,25.670330059
2017-06-25 09:00:00,"beehive_54620",60295,55.01031,-1.62681,44.728726414,34.454212888,NA,28.9318555,316,19.142857498
2017-06-25 09:00:00,"beehive_54630",60488,55.007339,-1.642851,17.414438856,35.743590184,370,37.3857219,326,31.633700053
